major_heading,major_heading_Thai,activity_code,met_value,activity_description,activity_description_Thai,target_group
Bicycling,การปั่นจักรยาน,1066,9,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",ปั่นจักรยาน ความเร็ว 12 ไมล์ต่อชั่วโมง ยืนปั่น มือวางบนที่ครอบเบรก รอบเครื่องยนต์ 60 รอบต่อนาที,adult
Bicycling,การปั่นจักรยาน,1070,5,Unicycling,การขี่จักรยานล้อเดียว,adult
Bicycling,การปั่นจักรยาน,1080,6.8,E-bike (electrically assisted) without electronic support,จักรยานไฟฟ้า (ช่วยด้วยไฟฟ้า) ที่ไม่มีระบบช่วยอิเล็กทรอนิกส์,adult
Bicycling,การปั่นจักรยาน,1084,6,E-bike (electrically assisted) with light electronic support,จักรยานไฟฟ้า (ช่วยขับเคลื่อนด้วยไฟฟ้า) พร้อมระบบช่วยอิเล็กทรอนิกส์แบบเบา,adult
Bicycling,การปั่นจักรยาน,1088,4,E-bike (electrically assisted) with high electronic support,จักรยานไฟฟ้า (ระบบช่วยขับเคลื่อนด้วยไฟฟ้า) พร้อมระบบอิเล็กทรอนิกส์ช่วยเสริมกำลังสูง,adult
Bicycling,การปั่นจักรยาน,1200,6.8,"Bicycling, stationary, general","การปั่นจักรยาน, อยู่กับที่, ทั่วไป",adult
Bicycling,การปั่นจักรยาน,1210,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort",ปั่นจักรยานอยู่กับที่ กำลังไฟ 25-30 วัตต์ ใช้แรงน้อยมากถึงปานกลาง,adult
Bicycling,การปั่นจักรยาน,1214,4,"Bicycling, stationary, 50 watts, light effort",ปั่นจักรยานอยู่กับที่ 50 วัตต์ ใช้แรงเบา,adult
Bicycling,การปั่นจักรยาน,1216,5,"Bicycling, stationary, 60 watts, light to moderate effort",ปั่นจักรยานอยู่กับที่ 60 วัตต์ ใช้แรงเบาถึงปานกลาง,adult
Bicycling,การปั่นจักรยาน,1218,5.8,"Bicycling, stationary, 70-80 watts",การปั่นจักรยานแบบอยู่กับที่ 70-80 วัตต์,adult
Bicycling,การปั่นจักรยาน,1220,6,"Bicycling, stationary, 90-100 watts,  moderate to vigorous",ปั่นจักรยานอยู่กับที่ กำลังไฟ 90-100 วัตต์ ระดับความหนักปานกลางถึงหนักมาก,adult
Bicycling,การปั่นจักรยาน,1224,6.8,"Bicycling, stationary, 101-125 watts",การปั่นจักรยานอยู่กับที่ 101-125 วัตต์,adult
Bicycling,การปั่นจักรยาน,1228,8,"Bicycling, stationary, 126-150 watts",การปั่นจักรยานอยู่กับที่ กำลังไฟ 126-150 วัตต์,adult
Bicycling,การปั่นจักรยาน,1232,10.3,"Bicycling, stationary, 151-199 watts",การปั่นจักรยานอยู่กับที่ 151-199 วัตต์,adult
Bicycling,การปั่นจักรยาน,1236,10.8,"Bicycling, stationary, 200-229 watts, vigorous",ปั่นจักรยานอยู่กับที่ กำลัง 200-229 วัตต์ อย่างหนักหน่วง,adult
Bicycling,การปั่นจักรยาน,1240,12.5,"Bicycling, stationary, 230-250 watts, very vigorous",ปั่นจักรยานอยู่กับที่ กำลัง 230-250 วัตต์ ออกแรงมาก,adult
Bicycling,การปั่นจักรยาน,1244,13.8,"Bicycling, stationary, 270-305 watts, very vigorous",ปั่นจักรยานอยู่กับที่ กำลัง 270-305 วัตต์ ออกแรงมาก,adult
Bicycling,การปั่นจักรยาน,1248,16.3,"Bicycling, stationary, >325 watts, very vigorous",ปั่นจักรยานอยู่กับที่ กำลังมากกว่า 325 วัตต์ ออกแรงมาก,adult
Bicycling,การปั่นจักรยาน,1252,5.5,"Bicycling, concentric only, 100 W","การปั่นจักรยาน, แบบวงกลมเท่านั้น, 100 วัตต์",adult
Bicycling,การปั่นจักรยาน,1254,11,"Bicycling, concentric only, 200 W",การปั่นจักรยาน เฉพาะแบบวงกลม 200 วัตต์,adult
Bicycling,การปั่นจักรยาน,1262,2.3,"Bicycling, eccentric only, 100 to 149 W",การปั่นจักรยาน เฉพาะกลุ่มคนนอกคอกเท่านั้น ระยะทาง 100 ถึง 149 กิโลเมตร,adult
Bicycling,การปั่นจักรยาน,1264,4,"Bicycling, eccentric only, 200 W",การปั่นจักรยาน เฉพาะคนแปลกเท่านั้น 200 วัตต์,adult
Bicycling,การปั่นจักรยาน,1270,9,"Bicycling, stationary, RPM/Spin bike class",คลาสปั่นจักรยานอยู่กับที่ (RPM/Spin bike),adult
Bicycling,การปั่นจักรยาน,1290,8.8,"Bicycling, interactive virtual cycling, indoor cycle ergometer","การปั่นจักรยาน, การปั่นจักรยานเสมือนจริงแบบโต้ตอบ, เครื่องปั่นจักรยานในร่ม",adult
Bicycling,การปั่นจักรยาน,1305,8.8,"Bicycling, high intensity interval training",การปั่นจักรยาน การฝึกแบบ HIIT (High Intensity Interval Training),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2000,7.3,"Aerobic, general",แอโรบิกทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2001,5.5,"Aerobic, step, with 4-inch step",แอโรบิกแบบสเต็ป สูง 4 นิ้ว,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2002,7.3,"Aerobic, step, with 6 – 8 inch step",แอโรบิกแบบสเต็ป โดยมีขั้นบันไดสูง 6-8 นิ้ว,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2003,9,"Aerobic, step, with 10 – 12 inch step",แอโรบิกแบบสเต็ป โดยมีขั้นบันไดสูง 10-12 นิ้ว,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2004,7.8,"Bench step class, general",คลาสฝึกการก้าวขึ้นม้านั่ง (ทั่วไป),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2005,4.8,"Aerobic dance, low impact, moderate effort",แอโรบิกแดนซ์ การออกกำลังกายแบบแรงกระแทกต่ำ ใช้แรงปานกลาง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2006,8,"Aerobic dance, high impact, vigorous effort",การเต้นแอโรบิก เป็นกิจกรรมที่มีแรงกระแทกสูงและใช้แรงมาก,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2007,10,Aerobic dance wearing 10-15 lb weights,การเต้นแอโรบิกโดยสวมตุ้มน้ำหนัก 10-15 ปอนด์,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2008,5,"Army type obstacle course exercise, boot camp training program",การฝึกวิ่งฝ่าอุปสรรคแบบทหาร การฝึกแบบบู๊ทแคมป์,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2020,7.5,"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort",การออกกำลังกายแบบกายบริหาร (เช่น วิดพื้น ซิทอัพ ดึงข้อ กระโดดตบ เบอร์พี เชือกฝึกกำลัง) การออกแรงอย่างหนัก,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2022,3.8,"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort",การออกกำลังกายแบบกายบริหาร (เช่น วิดพื้น ซิทอัพ ดึงข้อ ลันจ์) ด้วยความพยายามระดับปานกลาง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2024,2.8,"Calisthenics (e.g., curl ups, abdominal crunches, plank),  light effort","การออกกำลังกายแบบคาลิสเทนิกส์ (เช่น ซิทอัพ, ซิทอัพหน้าท้อง, แพลงก์) ออกแรงเบาๆ",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2030,3.5,"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",การออกกำลังกายแบบกายบริหารทั่วไป (เช่น การออกกำลังกายหลัง) การลุกขึ้นและลงจากพื้น (รหัสเทย์เลอร์ 150),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2032,6,"Circuit training, body weight exercises",การฝึกแบบเซอร์กิตเทรนนิ่ง การออกกำลังกายโดยใช้น้ำหนักตัว,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2034,3.5,"Circuit training, light effort",การฝึกแบบเซอร์กิตเทรนนิ่ง ออกแรงเบาๆ,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2035,5,"Circuit training, moderate effort",การฝึกแบบเซอร์กิตเทรนนิ่ง ระดับความพยายามปานกลาง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2040,7.5,"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",การฝึกแบบเซอร์กิตเทรนนิ่ง ซึ่งรวมถึงการใช้เคettlebells การเคลื่อนไหวแบบแอโรบิกบางส่วนโดยพักน้อยที่สุด และความเข้มข้นโดยทั่วไปสูง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2045,3.5,Curves™ exercise routines in women,โปรแกรมออกกำลังกาย Curves™ สำหรับผู้หญิง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2048,5,"Elliptical trainer, moderate effort",เครื่องออกกำลังกายแบบวงรี ออกแรงปานกลาง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2049,9,"Elliptical trainer, vigorous effort",เครื่องออกกำลังกายแบบวงรี ออกแรงอย่างเต็มที่,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2050,6,"Resistance (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code
210)","การฝึกความต้านทาน (การยกน้ำหนัก - น้ำหนักอิสระ, นอติลัส หรือแบบอเนกประสงค์), การยกกำลัง หรือการสร้างกล้ามเนื้อ, การออกแรงอย่างหนัก (รหัสเทย์เลอร์
210)",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2052,5,"Resistance (weight) training, squats, deadlift, slow or explosive effort",การฝึกความแข็งแรง (ยกน้ำหนัก) สควอท เดดลิฟท์ การออกแรงช้าหรือเร็ว,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2054,3.5,"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance",การฝึกความแข็งแรง (ยกน้ำหนัก) หลายท่า ทำซ้ำ 8-15 ครั้ง ด้วยแรงต้านที่แตกต่างกัน,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2055,5.8,"Resistance Training, circuit, reciprocol supersets, peripheral hear action training","การฝึกความต้านทาน, เซอร์กิต, ซูเปอร์เซ็ตแบบสลับกัน, การฝึกการทำงานของหัวใจส่วนปลาย",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2056,3,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general",การออกกำลังกายโดยใช้แรงต้านจากน้ำหนักตัว (เช่น สควอท ลันจ์ วิดพื้น ซิทอัพ) ทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2057,6.5,"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity",การออกกำลังกายโดยใช้แรงต้านจากน้ำหนักตัว (เช่น สควอท ลันจ์ วิดพื้น ซิทอัพ) ความเข้มข้นสูง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2058,9.8,Kettle bell swings,การแกว่งเคettlebell,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2060,5.5,"Health club exercise, general (Taylor Code 160)",การออกกำลังกายในฟิตเนสทั่วไป (รหัสเทย์เลอร์ 160),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2061,5,"Health club exercise classes general, gym/weight training combined in one visit",คลาสออกกำลังกายทั่วไปของฟิตเนสคลับ ผสมผสานการฝึกในยิมและการยกน้ำหนักไว้ในที่เดียว,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2062,7.8,"Health club exercise, conditioning classes",การออกกำลังกายในฟิตเนส คลาสฝึกความแข็งแรง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2064,3.8,"Home exercise, general",การออกกำลังกายที่บ้านทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2065,9.3,"Stair treadmill ergometer, general",เครื่องออกกำลังกายแบบลู่วิ่งขึ้นบันไดทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2068,11,"Rope skipping exercise, general",การออกกำลังกายด้วยการกระโดดเชือกทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2069,9,"Jumping rope, Digi-Jump Maching, 120 jumps/minute","การกระโดดเชือก, เครื่องกระโดดเชือกดิจิทัล, 120 ครั้ง/นาที",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2070,7.3,"Rowing, stationary ergometer, general, vigorous effort","การพายเรือ, เครื่องวัดกำลังแบบอยู่กับที่, ทั่วไป, ออกแรงอย่างเต็มที่",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2071,5,"Rowing, stationary ergometer, general, <100 watts,  moderate effort","การพายเรือ, เครื่องวัดกำลังแบบอยู่กับที่, ทั่วไป, น้อยกว่า 100 วัตต์, ความพยายามปานกลาง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2072,7.5,"Rowing, stationary, 100 to 149 watts, vigorous effort",การพายเรือแบบอยู่กับที่ กำลัง 100 ถึง 149 วัตต์ ออกแรงอย่างเต็มที่,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2073,11,"Rowing, stationary, 150 to 199 watts, vigorous effort",การพายเรือแบบอยู่กับที่ กำลัง 150 ถึง 199 วัตต์ ออกแรงอย่างเต็มที่,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2074,14,"Rowing, stationary, ≥ 200 watts, very vigorous effort",การพายเรือแบบอยู่กับที่ กำลัง ≥ 200 วัตต์ ออกแรงอย่างมาก,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2078,11,"Shuttle running, forward/backward/lateral",การวิ่งสลับทิศทาง (ไปข้างหน้า/ถอยหลัง/ด้านข้าง),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2080,6.8,"Ski machine, general",เครื่องสกีทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2082,10.5,"Ski ergometer, cross country, double poling, slow to moderate speed","เครื่องฝึกสกีแบบใช้แรงต้าน (Ski ergometer), สกีครอสคันทรี, ใช้ไม้ค้ำสองข้าง, ความเร็วช้าถึงปานกลาง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2084,18,"Ski ergometer, cross country, double poling, fast to maximum speed","เครื่องฝึกสกีแบบใช้แรงต้าน, สกีครอสคันทรี, การใช้ไม้ค้ำสองอัน, ความเร็วสูงสุด",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2085,10.5,"Slide board exercise, general",การออกกำลังกายด้วยกระดานสไลด์ทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2090,6,"Slimnastics, jazzercise","สลิมนาสติกส์, แจ๊สเซอร์ไซส์",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2101,2.3,"Stretching, mild",การยืดกล้ามเนื้อเบาๆ,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2103,1.8,"Pilates, traditional, mat",พิลาทิสแบบดั้งเดิม บนเสื่อ,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2105,2.8,"Pilates, general",พิลาทิสทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2107,8.5,"Pound, combination of Pilates and body movements with drumming",Pound คือการผสมผสานระหว่างพิลาทิสและการเคลื่อนไหวร่างกายเข้ากับการตีกลอง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2108,4.5,"Pole dancing, exercise class",คลาสเรียนเต้นเสา ออกกำลังกาย,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2110,6.8,"Teaching exercise classes (e.g., aerobic, water)",สอนคลาสออกกำลังกาย (เช่น แอโรบิก ออกกำลังกายในน้ำ),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2112,2.8,"Therapeutic exercise ball, Fitball exercise","ลูกบอลออกกำลังกายเพื่อการบำบัด, ฟิตบอล",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2114,9.5,"Therapeutic exercise ball, Fitball exercise, high intensity","ลูกบอลออกกำลังกายเพื่อการบำบัด, ฟิตบอล, การออกกำลังกายความเข้มข้นสูง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2115,2.8,"Upper body exercise, arm ergometer, general, light","ออกกำลังกายส่วนบนของร่างกาย, เครื่องออกกำลังกายแขน, ทั่วไป, เบา",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2116,2,"Arm Ergometer, hand bike, 15W",เครื่องออกกำลังกายแขนแบบใช้มือ (Hand Bike) 15 วัตต์,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2117,2.8,"Arm Ergometer, hand bike, 25-30W",เครื่องออกกำลังกายแขนแบบใช้มือ (Hand Bike) กำลังไฟ 25-30 วัตต์,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2118,3.5,"Arm Ergometer, hand bike, 45W",เครื่องออกกำลังกายแขนแบบใช้มือ (Hand Bike) 45 วัตต์,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2119,4.3,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity",ออกกำลังกายส่วนบนของร่างกายด้วยจักรยานออกกำลังกายแบบอยู่กับที่ - Airdyne (เฉพาะแขน) 40 รอบต่อนาที ความเข้มข้นปานกลาง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2120,5.3,"Water aerobics, water calisthenics, water exercise","แอโรบิกในน้ำ, กายบริหารในน้ำ, การออกกำลังกายในน้ำ",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2135,1.3,"Whirlpool, sitting","กระแสน้ำวน, นั่ง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2140,2.5,"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort","วิดีโอ, การออกกำลังกาย, รายการโทรทัศน์เกี่ยวกับการฝึกความแข็งแรงของร่างกาย (เช่น โยคะ, การยืดเหยียด, การออกกำลังกายแบบนั่ง), การออกแรงเบาๆ",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2143,4,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate","วิดีโอ, การออกกำลังกาย, รายการโทรทัศน์เกี่ยวกับการฝึกความแข็งแรงของกล้ามเนื้อ (เช่น การฝึกคาร์ดิโอและฝึกความแข็งแรงของกล้ามเนื้อ) ระดับปานกลาง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2145,6,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous","วิดีโอ, การออกกำลังกาย, รายการโทรทัศน์เกี่ยวกับการฝึกความแข็งแรงของกล้ามเนื้อ (เช่น การฝึกคาร์ดิโอและฝึกความแข็งแรงของกล้ามเนื้อ), การออกกำลังกายอย่างหนัก",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2150,2.3,"Yoga, Hatha","โยคะ, ฮาฐะ",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2153,8,"Yoga, Hatha, high intensity","โยคะ, ฮาธา, ความเข้มข้นสูง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2155,3,"Yoga, Hot",โยคะร้อน,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2160,4,"Yoga, Power","โยคะ, พลัง",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2170,2,"Yoga, Nadisodhana","โยคะ, นาดีโสธนะ",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2175,2.3,"Yoga, General",โยคะทั่วไป,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2180,3.5,"Yoga, Surya Namaskar",โยคะ สุริยานมาสการ,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2185,2.7,"Yoga, Vinyasa",โยคะ วินยาสะ,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2200,5.3,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort","PA ชาวนิวซีแลนด์พื้นเมือง (เช่น Haka Powhiri, Poi, Moteatea ฯลฯ) ความพยายามปานกลางโดยทั่วไป",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2205,6.8,"Native New Zealander PA, general, vigorous effort","ชาวนิวซีแลนด์พื้นเมือง PA, ทั่วไป, ความพยายามอย่างแข็งขัน",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2210,7,"High intensity interval exercise,  moderate effort",การออกกำลังกายแบบหนักสลับเบา (High intensity interval exercise) ด้วยความพยายามระดับปานกลาง,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2214,11,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort","การออกกำลังกายแบบหนักสลับเบา (HIIT), เบอร์พี, ปีนเขา, กระโดดสควอท, ทาบาตะ, การออกแรงอย่างหนัก",adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2225,2.3,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo",หุ่นยนต์ช่วยฝึกการทรงตัว (BEAR) จำลองการเล่นสกี เทนนิส และโรดีโอ,adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2230,5.8,Hooping (formerly known as hula® hooping),การเล่นฮูลาฮูป (เดิมเรียกว่า ฮูลาฮูป),adult
Conditioning Exercise,การออกกำลังกายเพื่อเสริมสร้างความแข็งแรง,2240,9,"Impulse Training System, Inertial Exercise Trainer","ระบบฝึกแบบแรงกระตุ้น, เครื่องฝึกออกกำลังกายแบบแรงเฉื่อย",adult
